date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/14/15,HL,PERTH AMBOY,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$3075,0,0
04/29/15,HL,COSBY,MO,ANDREW,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0,0,$6030,0,0
03/24/15,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$4515,0,0
03/16/15,HL,WALBRIDGE,OH,WOOD,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$30945,0,0
03/12/15,HL,WAKEMAN,OH,HURON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$6248,0,0
03/08/15,HL,Not Within a Municipality,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$331600,84,52
03/01/15,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$29100,0,0
02/17/15,HL,PERTH AMBOY,NJ,MIDDLESEX,ALL OTHER CAUSES,UNKNOWN,0,0,$187000,10,10
01/27/15,HL,PERTH AMBOY,NJ,MIDDLESEX,ALL OTHER CAUSES,UNKNOWN,0,0,$152000,0,0
12/17/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$26500,2,0
12/11/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$1550,0,0
12/10/14,HL,LIMA,OH,ALLEN,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$15500,1,0
11/24/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$18138,1,0
11/20/14,HL,PERTH AMBOY,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$152000,0,0
09/26/14,HL,LINDEN,NJ,UNION,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$68594,10,9
08/30/14,HL,PORT READING,NJ,MIDDLESEX,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$1500,2,0
08/21/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$8667,0,0
08/20/14,HL,LINDEN,NJ,UNION,CORROSION,INTERNAL,0,0,$976244,143,13
07/25/14,HL,BOOTHWYN,PA,DELAWARE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$248000,0,0
06/20/14,HL,SUGAR CREEK,MO,JACKSON,CORROSION,INTERNAL,0,0,$535150,11,8
04/25/14,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$2650,0,0
04/16/14,HL,OREGON,OH,LUCAS,ALL OTHER CAUSES,UNKNOWN,0,0,$148740,5,2
04/03/14,HL,FAYETTE,NY,SENECA,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$24250,0,0
03/14/14,HL,KANKAKEE,IL,KANKAKEE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,$2152636,25,8
03/14/14,HL,KANKAKEE,IL,KANKAKEE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,$2186750,5,0
03/06/14,HL,KOUTS,IN,PORTER,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$791,0,0
03/04/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$243357,0,0
03/04/14,HL,SCHERERVILLE,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$4276,0,0
02/12/14,HL,CLEVELAND,OH,CUYAHOGA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$200357,7,0
