date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
03/20/15,HL,PONTIAC,IL,LIVINGSTON,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$23052,0,0
09/29/13,HL,HUMBOLDT,KS,ALLEN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$60000,0,0
07/20/13,HL,MOUND CITY,KS,LINN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$20200,2,0
04/06/13,HL,HARRISONVILLE,MO,CASS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$200100,0,0
12/21/12,HL,FOREST CITY,IL,MASON,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$42300,3,0
12/14/12,HL,WYNONA,OK,OASAGE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$157000,38,0
04/06/12,HL,SHELBINA,MO,SHELBY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$486500,20,0
01/12/10,HL,RUSHVILLE,IL,SCHUYLER,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$32500,0,0
07/11/09,HL,CUSHING,OK,PAYNE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$8000,0,0
04/28/09,HL,PONTIAC,IL,LIVINGSTON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1500,0,0
11/25/08,HL,AMSTERDAM,MO,BATES,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$80050,2,2
09/05/08,HL,SCHERERVILLE,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5000,0,0
08/04/08,HL,CANEY,KS,MONTGOMERY,CORROSION,INTERNAL,0,0,$20000,10,0
