date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
07/09/13,HL,NEAREST CITY WAS ARNEGARD ND,ND,MCKENZIE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$575000,870,50
11/13/12,HL,GLENDIVE,MT,DAWSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$525,1,0
02/24/12,HL,NONE,MT,ROSEBUD,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$244650,183,2
02/22/12,HL,GLENDIVE,MT,,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$332,0,0
02/15/12,HL,N/A,MT,YELLOWSTONE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$610,0,0
09/07/10,HL,N/A,MT,PRAIRIE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$10500,3,3
07/29/10,HL,BILLINGS,MT,YELLOWSTONE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$523,0,0
11/30/09,HL,GLENDIVE,MT,DAWSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$500,2,2
07/26/09,HL,MINOT,ND,WARD,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1500,4,4
01/08/08,HL,GLENDIVE,MT,DAWSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$275,0,0
08/28/07,HL,LOCKWOOD,MT,YELLOWSTONE,ALL OTHER CAUSES,UNKNOWN,0,0,$10205,0,0
03/16/07,HL,GLENDIVE,MT,DAWSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1200,3,3
09/01/06,HL,,MT,PRAIRIE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5000,1,1
