date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
12/08/14,HL,STANTON,TX,MARTIN,CORROSION,INTERNAL,0,0,$97900,20,19
07/19/14,HL,NEAREST CITY: SEMINOLE,TX,GAINES,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$150441,800,200
01/30/14,HL,SNYDER,TX,SCURRY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$110000,475,25
07/06/12,HL,LOVINGTON,NM,LEA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$13000,4,4
07/02/12,HL,ROOSEVELT,OK,KIOWA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$303000,211,201
03/02/12,HL,ANDREWS,TX,ANDREWS,CORROSION,INTERNAL,0,0,$38940,128,28
10/07/11,HL,EDMOND,OK,OKLAHOMA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$766550,3299,990
10/11/10,HL,LEVELLAND,TX,HOCKLEY,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$64130,10200,250
12/21/09,HL,MATADOR,TX,MOTLEY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$2750,4,2
07/17/09,HL,SEMINOLE,TX,GAINES,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$5900,15,5
04/03/08,HL,FLOYDADA,TX,FLOYD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$58000,700,180
10/11/07,HL,EL RENO,OK,CANADIAN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$8000,0,0
07/31/07,HL,ANDREWS,TX,ANDREWS,CORROSION,UNSPECIFIED CORROSION,0,0,$1000,3,3
