date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/24/14,HL,MISSOURI TRIANGLE,CA,KERN COUNTY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$355100,0,0,$100
01/29/14,HL,BURAS,LA,,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$30015,0,0,$15
11/14/13,HL,MILFORD,TX,ELLIS,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$4588099,4357,4357,$338099
05/31/13,HL,MYTON,UT,DUCHESNE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$73569,10,0,$0
03/18/13,HL,WILLARD,UT,BOX ELDER,CORROSION,EXTERNAL,0,0,$21819684,499,0,$62782
01/28/13,HL,BOISE,ID,ADA,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$224259,15,2,$0
11/07/12,HL,GARDENA,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,$1180000,20,20,$0
10/17/12,HL,HANNA,UT,DUCHESNE COUNTY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$32477,30,0,$3500
10/17/12,HL,BYRON,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$26200,0,0,$0
09/06/12,HL,OFFSHORE,LA,,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$470002,0,0,$2
08/15/12,HL,ONTARIO,OR,MALHEUR,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$75544,0,0,$50
07/21/12,HL,PORT ARTHUR,TX,JEFFERSON,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$1162004,3117,3117,$173004
05/22/12,HL,11.5 MILES NORTH OF MCKITTRICK CA ON HWY 33,CA,KERN,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$5000,9,0,$0
03/04/12,HL,EMPIRE,LA,PLAQUEMINES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$400625,0,0,$625
09/12/11,HL,OFFSHORE,OCS,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$2000010,0,0,$10
09/08/11,HL,LATAN,TX,MITCHELL,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$1501020,12836,12836,$1001020
07/17/11,HL,VENICE LA,LA,PLAQUEMINES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$30192,2,0,$192
07/12/11,HL,FANNETT,TX,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$778,0,0,$26
06/16/11,HL,DES ALLEMANDS,LA,LAFOURCHE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$1586,0,0,$86
06/14/11,HL,SEMINOLE,TX,GAINES,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$108832,33,33,$64929
03/30/11,HL,HABBERMAN,ID,TWIN FALLS,CORROSION,EXTERNAL,0,0,$218516,228,205,$33516
01/26/11,HL,OFFSHORE,LA,,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$906900,79,0,$6900
12/01/10,HL,SALT LAKE CITY,UT,SALT LAKE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$20833925,500,250,$1092448
11/27/10,HL,MCKITTRICK,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$5000,0,0,$0
11/23/10,HL,TAFT,CA,,CORROSION,INTERNAL,0,0,$5065,0,0,$65
10/23/10,HL,SANTO,TX,PALO PINTO,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$29150,6,6,$150
09/17/10,HL,PT. ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$60250,87,87,$5250
09/01/10,HL,FRIENDSWOOD,TX,GALVESTON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$45800,4,4,$100
08/27/10,HL,BAYTOWN,TX,HARRIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$2500,0,0,$0
06/12/10,HL,SALT LAKE CITY,UT,SALT LAKE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,$32233740,800,22,$0
06/01/10,HL,MCKITTRICK,CA,KERN,CORROSION,EXTERNAL,0,0,$150000,508,8,$600
05/20/10,HL,GORDON,TX,PALO PINTO,CORROSION,EXTERNAL,0,0,$70000,4,4,$20000
04/26/10,HL,TWIN FALLS,ID,HANSEN,CORROSION,EXTERNAL,0,0,$92856,22,1,$2772
04/05/10,HL,VENICE,LA,PLAQUEMINE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$13933600,400,215,$33600
12/23/09,HL,BURAS,LA,PLAQUEMINES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$4409390,5,0,$390
12/17/09,HL,CORINNE,UT,BOX ELDER,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$505000,80,60,$5000
08/07/09,HL,OFFSHORE,N/A,,CORROSION,EXTERNAL,0,0,$125000,0,0,$0
07/27/09,HL,OFFSHORE,N/A,,CORROSION,EXTERNAL,0,0,$106000,0,0,$0
05/22/09,HL,LOVINGTON,NM,LEA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$159155,1662,1662,$119664
04/27/09,HL,HANNA,UT,DUCHESNE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$9720,37,0,$2220
02/26/09,HL,SWEETWATER,TX,NOLAN,CORROSION,EXTERNAL,0,0,$112551,7,7,$847
02/26/09,HL,WEATHERFORD,TX,PARKER,CORROSION,EXTERNAL,0,0,$71758,19,19,$1325
02/21/09,HL,LOST HILLS,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$52675,44,1,$1650
01/07/09,HL,,UT,UINTAH,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$1538920,1399,81,$3276
12/02/08,HL,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$150036,0,0,$36
11/30/08,HL,TAFT,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$68100,180,5,$8100
10/07/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$7000000,0,0,$0
09/28/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$50100,0,0,$0
09/08/08,HL,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$4198321,0,0,$0
04/07/08,HL,HOBBS,NM,LEA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$320059,4466,4466,$266380
03/31/08,HL,SNYDER,TX,SCURRY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$199423,1912,1912,$133840
01/08/08,HL,TAFT,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1000,2,0,$1000
11/12/07,HL,KETTLEMAN,CA,KINGS,CORROSION,INTERNAL,0,0,$6290,8,0,$690
09/12/07,HL,HAWTHORNE,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$12000,2,2,$0
09/05/07,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$10000,0,0,$0
01/29/07,HL,RANGELY,CO,RIO BLANCO,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$70500,3069,9,$500
01/09/07,HL,COALINGA,CA,FRESNO,CORROSION,EXTERNAL,0,0,$5300,5,5,$300
02/08/06,HL,AVENAL,CA,KINGS,CORROSION,UNSPECIFIED CORROSION,0,0,$10062,1,0,$62
