date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
05/15/15,GT,MARION,MI,CLARE,CORROSION,INTERNAL,0,0,$78865,$26865
05/04/15,GT,CHELSEA,MI,WASHTENAW,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$5439148,$358080
02/16/15,GT,MANCHESTER,MI,WASHTENAW,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$43790,$43268
10/23/14,GT,WHITE PIGEON,MI,ST. JOSEPH,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$47658,$47598
04/27/14,GT,FARMINGTON HILLS,MI,OAKLAND,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$103638,$810
03/15/14,GT,HAMILTON,MI,ALLEGAN,CORROSION,INTERNAL,0,0,$90682,$2259
12/21/13,GT,HAMILTON,MI,ALLEGAN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$32395,$31645
09/07/12,GT,MANCHESTER,MI,WASHTENAW,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$121778,$92614
08/28/12,GT,MANCHESTER,MI,WASHTENAW,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$203516,$202900
05/06/10,GT,WHITE PIGEON,MI,SAINT JOSEPH,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$51010,$32410
10/08/07,GT,ALLEGAN,MI,ALLEGAN,CORROSION,INTERNAL,0,0,$0,$0
11/30/06,GT,MARION,MI,OSCEOLA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$137100,$100
