date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
02/25/13,HL,BEAUMONT,TX,JEFFERSON,CORROSION,INTERNAL,0,0,$5299,37,37
08/26/10,HL,MONT BELVIEU,TX,CHAMBERS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$18677,1,1
08/15/07,HL,PLEASANT HILL,IA,POLK,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$32,0,0
12/05/06,HL,MORRIS,IL,GRUNDY,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,$2087,4,4
11/03/06,HL,PLEASANT HILL,IA,POLK,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$3060,3,3
08/12/06,HL,ROMEOVILLE,IL,WILL,CORROSION,EXTERNAL,0,0,$414092,1419,1419
05/23/06,HL,HUTCHINSON,KS,RENO,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$180,0,0
05/18/06,HL,MORRIS,IL,GRUNDY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$293619,30,30
04/28/06,HL,MORRIS,IL,GRUNDY,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$1118,25,25
04/17/06,HL,MORRIS,IL,GRUNDY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$826,0,0
03/25/06,HL,BLUE SPRINGS,NE,GAGE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$4573,2,2
