date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
03/15/12,HL,ERWINVILLE,LA,WEST BATON ROUGE,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$259,4,4
12/17/11,HL,TRENTON,SC,EDGEFIELD,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$3866,22,22
11/23/10,HL,MONT BELVIEU,TX,CHAMBERS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1270,3,3
09/08/10,HL,MARINQOUIN,LA,POINTEE COUPEE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$17328,382,382
07/05/10,HL,THOMSON,GA,MCDUFFIE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,1,1,$524275,3104,3104
09/06/09,HL,GREENSBORO,GA,GREENE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$3087,1,1
05/17/09,HL,MONT BELVIEU,TX,CHAMBERS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$82,1,1
11/01/07,HL,CRANDALL,MS,CLARKE,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,2,7,$3377247,10253,10253
04/11/07,HL,MILNER,GA,LAMAR,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$125,2,2
11/02/06,HL,MILNER,GA,LAMAR,ALL OTHER CAUSES,UNKNOWN,0,0,$5759,0,0
09/08/06,HL,APEX,NC,WAKE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$6000,285,285
07/11/06,HL,COLUMBUS,GA,MUSCOGEE,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,0,0,$10000,0,0
