date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/25/15,HL,ODESSA,TX,ECTOR,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$2520,0,0
05/21/15,HL,MIDLAND,TX,MIDLAND,CORROSION,INTERNAL,0,0,$15500,10,0
05/20/15,HL,CRANE,TX,CRANE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$3265,1,0
05/19/15,HL,SADLER,TX,GRAYSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$500,0,0
05/18/15,HL,TEXAS CITY,TX,GALVESTON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$42065,1,0
05/10/15,HL,NOCONA,TX,MONTAGUE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$14790,445,0
05/09/15,HL,HOUSTON,TX,HARRIS,CORROSION,INTERNAL,0,0,$11330,0,0
05/08/15,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$44450,0,0
05/07/15,HL,YOAKAM,TX,LAVACA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$2550,0,0
04/29/15,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$45100,2,0
04/23/15,HL,JACKSBORO,TX,JACK,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$924,0,0
04/20/15,HL,HOUSTON,TX,HARRIS,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$40700,4,0
04/17/15,HL,MIDLAND,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$2850,0,0
04/08/15,HL,HOUSTON,TX,HARRIS,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$40050,1,0
04/06/15,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1050,3,0
03/16/15,HL,SEALY,TX,AUSTIN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$3335,1,0
03/03/15,HL,MIDLAND,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$2730,1,0
02/27/15,HL,CRANE,TX,CRANE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$8250,3,0
02/21/15,HL,CUSHING,OK,PAYNE,ALL OTHER CAUSES,UNKNOWN,0,0,$25010,0,0
02/11/15,HL,MIDLAND,TX,MIDLAND,ALL OTHER CAUSES,UNKNOWN,0,0,$21300,25,0
02/01/15,HL,LAWSON,TX,ECTOR,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$38300,35,0
01/22/15,HL,LA GRANGE,TX,FAYETTE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$2525,3,0
01/20/15,HL,GARWOOD,TX,COLORADO,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$2175,0,0
01/16/15,HL,LAWSON,TX,ECTOR,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$210,0,0
01/15/15,HL,ELECTRA,TX,WICHITA,CORROSION,INTERNAL,0,0,$51250,25,0
01/08/15,HL,FREEPORT,TX,BRAZORIA,CORROSION,INTERNAL,0,0,$406250,300,100
01/06/15,HL,CUSHING,OK,LINCOLN,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$4525,0,0
12/08/14,HL,GLENDALE,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$34950,35,0
11/26/14,HL,SEALY,TX,AUSTIN,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$515,0,0
11/12/14,HL,MIDLAND,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$3100,0,0
11/03/14,HL,GRAHAM,TX,YOUNG,CORROSION,INTERNAL,0,0,$50080,1,0
10/21/14,HL,MIDLAND,TX,MIDLAND,CORROSION,INTERNAL,0,0,$7900,4,0
