date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
03/17/15,HL,Not Within a Municipality,LA,SAINT JAMES,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$1000,0,0,$0
03/04/15,HL,Not Within a Municipality,TX,COLORADO,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$181700,80,0,$1200
01/19/15,HL,Not Within a Municipality,TX,COLORADO,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$72150,1,0,$150
12/30/14,HL,Not Within a Municipality,TX,COLORADO,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$79000,9,0,$1000
12/15/14,HL,Not Within a Municipality,TX,WHARTON,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$70015,0,0,$15
09/24/14,HL,MARION,TX,GUADALUPE,CORROSION,EXTERNAL,0,0,$762000,15,9,$2000
08/10/13,HL,LONGVIEW,TX,GREGG,ALL OTHER CAUSES,MISCELLANEOUS,0,3,$4850,0,0,$50
05/03/13,HL,PASADENA,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$6075,0,0,$75
03/06/13,HL,PASADENA,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$20150,0,0,$150
02/18/13,HL,GRAND ISLE,LA,JEFFERSON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$15000,0,0,$0
02/04/13,HL,PASADENA,TX,HARRIS,CORROSION,EXTERNAL,0,0,$15200,0,0,$100
11/03/12,HL,OFFSHORE,OCS,,CORROSION,EXTERNAL,0,0,$230005,0,0,$5
10/16/12,HL,ST. JAMES,LA,ST. JAMES,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0,0,$25160,2,0,$160
10/16/12,HL,OFFSHORE,LA,,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$170000,0,0,$0
10/07/12,HL,RACELAND,LA,LAFOURCHE,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$322649,59,0,$4800
08/20/12,HL,BAYTOWN,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$130050,0,0,$50
04/28/12,HL,TORBERT,LA,POINTE COUPEE,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$7670662,2880,880,$91520
04/16/12,HL,CORPUS CHRISTI,TX,NUECES,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$9140,0,0,$40
04/10/12,HL,ST. JAMES,LA,ST. JAMES,CORROSION,INTERNAL,0,0,$81600,5,0,$100
04/10/12,HL,BATON ROUGE,LA,EAST BATON ROUGE,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$312,0,0,$12
03/16/12,HL,BELFY MONTANA,MT,CARBON,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$4550,0,0,$50
02/13/12,HL,NEAREST CITY ST. JAMES,LA,ST. JAMES,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$3000,0,0,$0
02/01/12,HL,MT BELVIEU,TX,CHAMBERS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1550,0,0,$50
