date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
05/17/14,GT,PORT ST. JOHN,FL,BREVARD,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$1494007,$194007
06/18/13,GT,FRANKLINTON,LA,WASHINGTON,CORROSION,EXTERNAL,0,2,$3062481,$354000
05/29/13,GT,TAMPA,FL,HILLSBOROUGH,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,0,0,$146972,$16972
12/26/12,GT,MELBOURNE,FL,BREVARD,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$1168231,$1022154
12/13/12,GT,LAKE WORTH,FL,PALM BEACH COUNTY,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$589541,$51641
09/24/12,GT,PORT LAVACA,TX,CALHOUN,CORROSION,EXTERNAL,0,0,$90161,$10161
02/13/12,GT,PRIDE,LA,EAST BATON ROUGE,CORROSION,EXTERNAL,0,0,$471850,$8850
10/20/11,GT,BARTOW,FL,POLK,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$247071,$145
03/24/11,GT,BUCKVILLE,FL,LAFAYETTE,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$74316,$14823
01/24/11,GT,POPLARVILLE,MS,PEARL RIVER,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$493413,$51797
05/18/10,GT,PALM BEACH GARDENS,FL,PALM BEACH,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$8012,$12
05/11/09,GT,MADISON,FL,MADISON,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$279320,$86050
05/04/09,GT,PALM CITY,FL,MARTIN,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,3,$606360,$140600
03/24/09,GT,CHIPLEY,FL,WASHINGTON,CORROSION,EXTERNAL,0,0,$62000,$470
08/04/08,GT,LAKE WALES,FL,POLK COUNTY,CORROSION,EXTERNAL,0,0,$79988,$200
05/20/08,GT,LAKE WALES,FL,POLK,CORROSION,EXTERNAL,0,0,$72100,$100
02/01/08,GT,CHIPLEY,FL,WASHINGTON,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$124100,$100
04/03/07,GT,DELESPINE,FL,BREVARD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$369615,$294204
