date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
02/05/15,HL,Not Within a Municipality,NM,EDDY COUNTY,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$6030,1,0,$30
12/18/14,HL,Not Within a Municipality,NM,EDDY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$50140,0,0,$40
07/13/14,HL,CHEYENNE,WY,LARAMIE,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$6000,500,0,$0
05/24/14,HL,MIDLAND,TX,MIDLAND,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$3041250,890,787,$111250
05/07/14,HL,SEMINOLE,TX,GAINES,CORROSION,INTERNAL,0,0,$103668,10,0,$0
04/29/14,HL,CHEYENNE,WY,LARAMIE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$1370,5,4,$120
04/27/14,HL,CHEYENNE,WY,LARAMIE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$850,5,1,$100
03/07/14,HL,CHEYENNE,WY,LARAMIE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$0,30,1,$0
10/18/13,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$26050,20,20,$2000
09/12/13,HL,PINON,NM,OTERO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$590596,2491,2491,$90596
06/27/13,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1200,1,1,$200
06/12/13,HL,MIDLAND,TX,MIDLAND,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$1025000,4153,3034,$480000
01/29/13,HL,,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$16900,20,18,$1900
12/27/12,HL,LOVINGTON,NM,LEA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$22582,150,20,$12082
06/27/12,HL,THROCKMORTON (RURAL),TX,THROCKMORTON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$235000,465,465,$68000
04/12/12,HL,,TX,GAINES,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$156600,116,76,$11600
01/26/12,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$2837,0,0,$37
12/01/11,HL,NO TREES,TX,ECTOR,CORROSION,EXTERNAL,0,0,$40500,5,5,$500
05/10/11,HL,ORLA,TX,CULBERSON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$2605,1,1,$105
12/23/09,HL,ARTESIA,NM,EDDY,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$3070,5,0,$0
07/20/09,HL,ORLA,TX,CULBERSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$2000,5,4,$0
05/31/09,HL,DENVER CITY,TX,GAINES,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$5750,0,0,$1750
08/06/08,HL,EL PASO,TX,EL PASO,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$17250,75,30,$250
11/02/07,HL,MENTONE,TX,LOVING,CORROSION,UNSPECIFIED CORROSION,0,0,$215,4,4,$215
05/16/07,HL,EL PASO,TX,EL PASO,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$13200,50,5,$4200
03/15/07,HL,KERMIT,TX,WINKLER,CORROSION,EXTERNAL,0,0,$144000,2262,2262,$28000
09/26/06,HL,,TX,NOLAN,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$189500,280,20,$1000
