date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
06/30/14,HL,HOUSTON,TX,HARRIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$0,67,0
08/20/13,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$285000,10,0
05/30/11,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$3525,0,0
05/29/10,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$150,2,0
04/27/10,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$78188,0,0
04/10/09,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$500,0,0
03/02/09,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$500,0,0
03/12/08,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1000,3,0
10/23/07,HL,HOUSTON,TX,HARRIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$1050,6,1
08/11/07,HL,HOUSTON,TX,HARRIS,ALL OTHER CAUSES,UNKNOWN,0,0,$60000,800,0
12/27/06,HL,HOUSTON,TX,HARRIS,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$11050,4,1
11/17/06,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$15250,10,5
