date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
04/10/15,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$55637,0,0,$50
01/15/15,HL,FOLEY,MN,BENTON,ALL OTHER CAUSES,UNKNOWN,0,0,$2666269,20,2,$940
12/18/14,HL,SHEVLIN,MN,CLEARWATER,CORROSION,INTERNAL,0,0,$564940,20,1,$1129
10/02/14,HL,BANQUETE,TX,NUECES,CORROSION,INTERNAL,0,0,$1171548,6,0,$650
09/30/14,HL,BANQUETE,TX,NUECES,CORROSION,INTERNAL,0,0,$802735,1,0,$100
09/25/14,HL,LINO LAKES,MN,ANOKA,ALL OTHER CAUSES,UNKNOWN,0,0,$130368,3,0,$368
09/10/14,HL,CLEARBROOK,MN,CLEARWATER,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$85071,0,0,$23
06/11/14,HL,DELMITA,TX,STARR,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$197315,25,3,$2500
04/08/14,HL,HUGO,MN,WASHINGTON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$1327126,0,0,$92
03/21/14,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$8650,0,0,$132
12/01/13,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$5615,0,0,$15
11/26/13,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$19214,0,0,$18
10/28/13,HL,SMITHVILLE,TX,FAYETTE,CORROSION,EXTERNAL,0,0,$9458751,400,162,$40000
08/06/13,HL,FOLEY,MN,BENTON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$60958,0,0,$24
07/09/13,HL,PETTUS,TX,BEE,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$47847,1,0,$165
03/31/13,HL,CLEARBROOK,MN,CLEARWATER,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$482401,0,0,$63
03/29/13,HL,LIBERTY,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$296,1,1,$296
01/02/13,HL,HUGO,MN,WASHINGTON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$66918,0,0,$44
11/09/12,HL,SAN ANTONIO,TX,BEXAR,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$55784,2,0,$260
08/09/12,HL,INGLESIDE,TX,SAN PATRICIO,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$85678,24,0,$2100
07/24/12,HL,MENAHGA,MN,HUBBARD,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$35025,1,0,$80
05/15/12,HL,JACKSONVILLE,MO,RANDOLPH,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$97031,3,0,$300
02/20/12,HL,PINE BEND,MN,DAKOTA COUNTY,CORROSION,INTERNAL,0,0,$3273,0,0,$19
02/15/12,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$16450,1,0,$100
01/26/12,HL,FAIRCHILD,WI,EAU CLAIRE,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$265793,1,1,$759
12/20/11,HL,PARIS,MO,MONROE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$5811,0,0,$67
12/11/11,HL,GRANDVIEW,TX,JOHNSON,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$697,0,0,$32
07/26/11,HL,PORTLAND,TX,SAN PATRICIO,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$63050,15,9,$1500
12/13/10,HL,EAGLEVILLE,MO,HARRISON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$20021,0,0,$21
07/14/10,HL,LAPORTE,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1294,33,33,$1294
06/04/10,HL,ALBANY,MN,STEARNS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$13741,1,1,$141
04/16/10,HL,REFUGIO,TX,REFUGIO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$2509,0,0,$9
01/13/10,HL,MENAHGA,MN,HUBBARD,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$66679,0,0,$34
12/04/09,HL,STAPLES,MN,TODD,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$3210000,5000,2586,$325000
11/28/09,HL,MENAHGA,MN,HUBBARD,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$76219,3,3,$219
11/03/09,HL,PETTUS,TX,BEE,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,0,0,$6056,4,3,$301
07/21/09,HL,CORPUS CHRISTI,TX,NUECES,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$204250,627,627,$26350
06/02/09,HL,REFUGIO,TX,REFUGIO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$40920,8,7,$420
03/24/09,HL,ELLSWORTH,WI,PIERCE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$106056,0,0,$56
12/12/08,HL,INGLESIDE,TX,SAN PATRICIO,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$9141,0,0,$20
08/25/08,HL,PETTUS,TX,BEE,CORROSION,UNSPECIFIED CORROSION,0,0,$33330,0,0,$65
08/04/08,HL,LONGVIEW,TX,GREGG,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$118,0,0,$118
06/06/08,HL,GIDDINGS,TX,LEE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$65873,3,3,$375
05/24/08,HL,SAN ANTONIO,TX,BEXAR,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$754400,531,482,$96400
05/20/08,HL,PORT ARTHUR,TX,JEFFERSON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$377900,16,4,$2900
03/23/08,HL,CLEARBROOK,MN,CLEARWATER,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$482505,1600,100,$10000
01/19/08,HL,PORT NECHES,TX,JEFFERSON,CORROSION,INTERNAL,0,0,$500500,15,5,$500
02/14/07,HL,DILLEY,TX,FRIO,CORROSION,INTERNAL,0,0,$516809,260,259,$15540
02/07/07,HL,COTTAGE GROVE,MN,WASHINGTON,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,0,0,$101,0,0,$1
12/05/06,HL,BEN BOLT,TX,JIM WELLS,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,$1256,2,2,$100
10/31/06,HL,CORPUS CHRISTI,TX,NUECES,CORROSION,INTERNAL,0,0,$13597,10,8,$480
10/27/06,HL,TILDEN,TX,MCMULLEN,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$2510,0,0,$10
09/28/06,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$7,0,0,$7
07/09/06,HL,CORPUS CHRISTI,TX,SAN PATRICIO,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5110,2,1,$110
06/27/06,HL,LITTLE FALLS,MN,MORRISON,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,0,0,$4683871,3200,1450,$101500
06/26/06,HL,PEARSALL,TX,FRIO,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$9064,2,2,$157
06/19/06,HL,PORTLAND,TX,SAN PATRICIO,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$339836,142,42,$2940
05/21/06,HL,WACO,TX,MCLENNAN,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$29245,5,2,$221
05/03/06,HL,COTTAGE GROVE,MN,WASHINGTON,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$50160,30,10,$700
01/31/06,HL,WEST POINT,TX,FAYETTE,CORROSION,INTERNAL,0,0,$794985,224,54,$4320
