date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/21/15,HL,VERNON,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$45400,5,0,$400
05/15/15,HL,VERNON,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$30100,0,0,$100
04/29/15,HL,WALTONVILLE,IL,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$31040,0,0,$40
04/28/15,HL,VERNON,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$30330,4,0,$230
03/24/15,HL,BROWNSVILLE,TN,HAYWOOD COUNTY,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$20225,0,0,$25
03/20/15,HL,WESSON,MS,COPIAH,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$5025,0,0,$25
03/18/15,HL,WESSON,MS,COPIAH,CORROSION,INTERNAL,0,0,$2169200,80,38,$4200
03/16/15,HL,GRIFFITH,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$3150,2,0,$150
02/17/15,HL,LOUISVILLE,KY,JEFFERSON,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,$2513000,160,155,$13000
01/29/15,HL,GRIFFITH,IN,LAKE,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$540,0,0,$40
01/19/15,HL,ST. JAMES,LA,ST. JAMES,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1135,0,0,$35
12/25/14,HL,ROCKVILLE,IN,PARKE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$285500,9,8,$500
12/23/14,HL,ST. JAMES,LA,ST. JAMES,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$30000,0,0,$0
11/03/14,HL,LEBANON JUNCTION,KY,BULLITT,CORROSION,EXTERNAL,0,0,$294100,40,0,$3100
08/02/14,HL,ST. JAMES,LA,ST. JAMES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$2020,0,0,$20
07/25/14,HL,COLUMBUS,OH,FRANKLIN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$12105,0,0,$105
06/29/14,HL,VERNON,IL,MARION,CORROSION,INTERNAL,0,0,$1565000,646,298,$65000
