date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
04/13/15,GT,Not Within a Municipality,TX,HUTCHINSON,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$455000,$275000
10/12/14,GT,LONGVIEW,TX,HARRISON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$12110,$12110
05/26/14,GT,HUNGERFORD,TX,WHARTON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$50000,$50000
10/22/13,GT,FALFURRIAS,TX,JIM WELLS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$33149,$33149
06/06/12,GT,PAMPA,TX,GREY,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$117000,$85800
08/16/11,GT,HERSCHER,IL,KANKAKEE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,1,$1413979,$251
10/02/10,GT,MEADE,KS,MEADE,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$148431,$63399
10/28/09,GT,SAINT ELMO,IL,FAYETTE,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,0,2,$663800,$0
03/15/09,GT,MALVERN,IA,MILLS,OTHER OUTSIDE FORCE DAMAGE,INTENTIONAL DAMAGE,0,0,$83000,$43000
11/07/08,GT,OTTAWA,IL,LA SALLE,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$53344,$51844
09/14/08,GT,CAMERON,LA,CAMERON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$74139,$74089
09/14/08,GT,CAMERON,LA,CAMERON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$4644,$4594
08/26/08,GT,LONGVIEW,TX,HARRISON,CORROSION,INTERNAL,0,0,$1068000,$50000
05/16/08,GT,JOLIET,IL,WILL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$94000,$34000
12/18/07,GT,WOODSBORO,TX,REFUGIO,CORROSION,EXTERNAL,0,0,$165443,$115341
11/13/07,GT,VERGENNES,IL,JACKSON,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,0,0,$223564,$161826
10/15/07,GT,ROCK FALLS,IL,WHITESIDE,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$1382700,$1300000
11/15/06,GT,SAYRE,OK,BECKHAM,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$87071,$86729
08/03/06,GT,NEW VIRGINIA,IA,WARREN,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$232204,$194800
07/07/06,GT,MARSHALL,TX,PANOLA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$99200,$25700
06/06/06,GT,STRINGTOWN,OK,ATOKA,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$123791,$74654
04/03/06,GT,RED OAK,OK,LATIMER,CORROSION,EXTERNAL,0,0,$61070,$61070
03/26/06,GT,MARBLE HILL,MO,BOLLINGER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$147524,$147524
