date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
05/29/15,GT,Not Within a Municipality,KS,MEADE,CORROSION,EXTERNAL,0,0,$65234,$1425
04/04/15,GT,Not Within a Municipality,IA,DELEWARE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$9940,$8500
12/29/14,GT,WELCOME,MN,MARTIN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$57362,$52862
11/11/14,GT,ANKENY,IA,POLK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$18435,$18135
09/22/14,GT,SHEFFIELD,IA,FRANKLIN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$101477,$2533
06/05/14,GT,DES MOINES,IA,POLK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$34229,$29873
04/27/14,GT,MECHANICSVILLE,IA,CEDAR,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$495700,$280000
04/11/14,GT,RANKIN,TX,REAGAN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$360000,$360000
03/19/14,GT,EAGAN,MN,DAKOTA,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$72100,$12000
03/14/14,GT,NICKERSON,NE,DODGE,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$3404215,$199400
12/03/13,GT,WAVERLY,NE,LANCASTER,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$21500,$16000
11/01/13,GT,PRAIRIE CITY,IA,JASPER,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$124000,$24000
10/27/13,GT,WELCOME,MN,MARTIN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$18400,$18000
10/08/13,GT,ROSSTON,OK,HARPER,CORROSION,EXTERNAL,0,0,$285000,$160000
04/23/13,GT,MONDOVI,WI,BUFFALO,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$229733,$17430
08/07/12,GT,REDFIELD,IA,DALLAS,CORROSION,INTERNAL,0,0,$180892,$6895
08/03/12,GT,MASON CITY,IA,CERRO GORDO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$13979,$12479
04/25/12,GT,HINTON,IA,PLYMOUTH,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,2,$472273,$127537
03/10/12,GT,WATERLOO,IA,BLACKHAWK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$10479,$10279
12/23/11,GT,CLIFTON,KS,CLAY,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$263000,$18000
09/23/11,GT,CYRUS,MN,STEVENS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$79735,$6542
04/29/11,GT,SPRINGFIELD,MN,BROWN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$233890,$18820
