date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
12/16/13,GT,MALAGA (WENATCHEE),WA,CHELAN,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$250847,$847
05/24/11,GT,LAVA,ID,CARIBOU,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$138360,$69860
04/27/11,GT,,ID,CARIBOU,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$134081,$53081
09/02/10,GT,MOUNT VERNON,WA,SKAGIT,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$300100,$300100
09/02/09,GT,SODA SPRINGS,ID,CARIBOU,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$132430,$63259
06/01/09,GT,COLTON,WA,WHITMAN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$320578,$1000
05/11/09,GT,VERNAL,UT,UINTAH,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$69000,$21000
01/08/09,GT,GRANITE FALLS,WA,SNOHOMISH,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$128035,$22477
08/08/07,GT,MALTA,ID,CASSIA,CORROSION,EXTERNAL,0,0,$95000,$95000
12/15/06,GT,OPAL,WY,LINCOLN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$150500,$100000
08/30/06,GT,,ID,OWYHEE,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$275000,$0
08/21/06,GT,,ID,OWYHEE,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$225000,$0
08/21/06,GT,,ID,OWYHEE,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$225000,$0
07/28/06,GT,MOUNTAIN HOME,ID,ELMORE,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$579224,$229224
05/24/06,GT,SPRAGUE,WA,LINCOLN,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$150000,$0
03/29/06,GT,DEMING,WA,WHATCOM,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$60000,$15000
