date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/14/13,HL,SPENCER,IA,CLAY,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$2150,0,0
05/06/13,HL,ORCHARD FARM,MO,ST. CHARLES,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$75840,0,0
02/22/13,HL,VERMILION,IL,EDGAR,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$5680,1,1
02/12/13,HL,CHESTER,NE,THAYER,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$36618,0,0
02/12/13,HL,SAUK CENTRE,MN,STEARNS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$47950,5,0
01/10/13,HL,DUBACH,LA,LINCOLN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$15020,3,0
11/21/12,HL,FAIRMONT,NE,FILLMORE,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$933000,60,0
06/21/12,HL,ANDOVER,KS,BUTLER,CORROSION,INTERNAL,0,0,$151661,5,0
03/12/12,HL,HUNTINGTON,IN,HUNTINGTON,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$165,0,0
02/20/12,HL,ABERDEEN,SD,BROWN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$266340,500,50
12/09/11,HL,PALMETTO,LA,ST. LANDRY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$117070,3,3
09/28/11,HL,SIOUX FALLS,SD,LINCOLN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$37607,2,0
08/22/11,HL,FT. MADISON,IA,LEE,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$30013,0,0
08/08/11,HL,GENEVA,NE,FILLMORE COUNTY,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$12522,3,0
07/19/11,HL,ONAWA,IA,MONONA,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$4720,0,0
07/15/11,HL,TEKAMAH,NE,BURT,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$956500,100,100
07/04/11,HL,WOLSEY,SD,BEADLE,CORROSION,INTERNAL,0,0,$6570,0,0
06/09/11,HL,MILFORD,IA,DICKINSON,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$107588,4,0
03/30/11,HL,GENEVA,NE,FILLMORE COUNTY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$5600,0,0
12/21/10,HL,GENEVA,NE,FILLMORE COUNTY,CORROSION,EXTERNAL,0,0,$28762,1,0
12/12/10,HL,MCPHERSON,KS,MCPHERSON COUNTY,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$2762,0,0
12/05/10,HL,NORTH ENGLISH,IA,IOWA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1866,0,0
11/27/10,HL,MILLERSBURG,IA,IOWA,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$31010,2,2
09/08/10,HL,ARKANSAS CITY,KS,COWLEY CO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$6220,0,0
06/16/10,HL,,LA,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$0,0,0
01/22/10,HL,EL DORADO,KS,BUTLER COUNTY,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$8867,1,0
12/14/09,HL,LOUISIANA,MO,PIKE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$3515,0,0
11/13/09,HL,FARNAM,NE,FRONTIER,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$170826,83,48
10/06/09,HL,ELM CREEK,NE,PHELPS,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$7123,2,0
07/21/09,HL,MANDAN,ND,MORTON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1430,3,0
05/11/09,HL,SALSBURG,LA,ST. JAMES,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,0,0,$65054,2,2
05/01/09,HL,GENEVA,NE,FILLMORE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1000,0,0
12/01/08,HL,GENEVA,NE,FILLMORE,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$1500,6,6
10/01/08,HL,MCPHERSON,KS,MCPHERSON,CORROSION,EXTERNAL,0,0,$63000,20,0
08/23/08,HL,HILLSBORO,IL,MONTGOMERY,CORROSION,UNSPECIFIED CORROSION,0,0,$11737,0,0
03/15/08,HL,DONALDSONVILLE,LA,ASCENSION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$100,0,0
12/01/07,HL,GENEVA,NE,FILLMORE,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$490,1,0
07/04/07,HL,BIGSPRING,MO,WARREN,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,0,0,$7258,0,0
