date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
03/16/15,GT,Not Within a Municipality,OK,LINCOLN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$91652,$37352
09/03/14,GT,CATOOSA,OK,ROGERS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$163309,$57509
01/06/14,GT,DEPEW,OK,CREEK,CORROSION,EXTERNAL,0,0,$418165,$165165
07/28/13,GT,HYDRO,OK,CADDO,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$53464,$51024
10/03/11,GT,MOUNTAIN VIEW,OK,KIOWA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$81433,$16451
05/24/11,GT,CALUMET,OK,CANADIAN,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,0,0,$1778769,$186406
07/15/10,GT,NORMAN,OK,CLEVELAND,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$150200,$93398
03/11/10,GT,CHANDLER,OK,LINCOLN,CORROSION,EXTERNAL,0,0,$785379,$210000
10/09/08,GT,NORMAN,OK,CLEVELAND,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$70589,$58371
08/18/08,GT,VELMA,OK,STEPHENS,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,0,0,$53705,$30509
