date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
09/23/14,GT,Not Within a Municipality,TX,REEVES,CORROSION,EXTERNAL,0,0,$149266,$26403
04/10/14,GT,ODESSA,TX,ECTOR,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$300031,$217231
04/02/13,GT,BIG SPRING,TX,HOWARD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$106104,$61842
10/15/12,GT,MIDLAND,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$25798,$13798
04/26/11,GT,ODESSA,TX,ECTOR,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$96925,$333
12/03/09,GT,COLORADO CITY,TX,MITCHELL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$205654,$131133
06/16/09,GT,GOLDSMITH,TX,ANDREWS,CORROSION,EXTERNAL,0,0,$252421,$184248
12/12/07,GT,CANUTILLO,TX,EL PASO,CORROSION,EXTERNAL,0,0,$250068,$68
07/25/07,GT,GOLDSMITH,TX,ECTOR,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$403225,$385253
12/05/06,GT,ANTHONY,TX,EL PASO,CORROSION,EXTERNAL,0,0,$74171,$69671
08/29/06,GT,MONAHANS,TX,CRANE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$381093,$229773
02/13/06,GT,LUBBOCK,TX,LUBBOCK,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$60000,$50000
