date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
03/31/15,GT,LAMONTE,MO,PETTIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$46332,$46116
10/13/14,GT,CENTERVIEW,MO,JOHNSON COUNTY,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$776585,$103976
09/23/14,GT,ELWOOD,IN,MADISON,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$77789,$53694
02/10/14,GT,TUSCOLA,IL,DOUGLAS,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$45867,$45567
11/28/13,GT,HUGHESVILLE,MO,PETTIS,CORROSION,EXTERNAL,0,0,$2005775,$544000
05/29/11,GT,MEADE,KS,MEADE,CORROSION,INTERNAL,0,0,$208000,$187000
04/25/11,GT,MANCHESTER,IL,SCOTT,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$566352,$254593
06/22/10,GT,MONTEZUMA,IN,PARKE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$66851,$64495
05/20/09,GT,FAYETTE,MO,HOWARD,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$722850,$67850
05/05/09,GT,ROCKVILLE,IN,PARKE,CORROSION,EXTERNAL,0,0,$2092739,$44500
04/04/09,GT,GLENARM,IL,SANGAMON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$85135,$84985
08/25/08,GT,PILOT GROVE,MO,COOPER,CORROSION,EXTERNAL,0,0,$1046359,$393296
01/10/08,GT,MANCHESTER,MI,WASHTENAW,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$221700,$76700
11/21/07,GT,HAVEN,KS,RENO,CORROSION,EXTERNAL,0,0,$573700,$333700
08/27/07,GT,WAVERLY,IL,MORGAN,CORROSION,INTERNAL,0,0,$29535,$19535
04/29/07,GT,PAWNEE,IL,SANGAMON,CORROSION,EXTERNAL,0,0,$445000,$175000
02/16/07,GT,HLSTEAD,KS,HARVEY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$205800,$200400
02/19/06,GT,STURGEON,MO,BOONE,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$55000,$1300
