date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
01/20/15,HL,CUSHING,OK,PAYNE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$11530,0,0
11/18/14,HL,,OK,PAYNE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$20100,1,0
05/19/13,HL,SAINT JAMES,LA,SAINT JAMES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$41173,2,0
11/21/12,HL,MIDLAND,TX,MIDLAND,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0,0,$19400,10,0
09/28/12,HL,COMPTON,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,$245000,3,0
09/21/12,HL,EL SEGUNDO,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$45000,2,0
08/06/12,HL,SUPERIOR,WI,DOUGLAS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$34500,0,0
08/05/12,HL,CUSHING,OK,LINCOLN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$20000,1,0
03/06/12,HL,MIDLAND,TX,MIDLAND,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0,0,$1800,3,0
02/07/12,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$25050,0,0
02/04/11,HL,CUSHING,OK,LINCOLN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$24050,9,0
09/12/10,HL,ST JAMES,LA,ST JAMES,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$177922,161,0
01/12/10,HL,CUSHING,OK,LINCOLN,CORROSION,INTERNAL,0,0,$20333,21,0
11/05/09,HL,MARTINEZ,CA,CONTRA COSTA,CORROSION,UNSPECIFIED CORROSION,0,0,$34800,4,4
07/12/09,HL,CUSHING,OK,LINCOLN,CORROSION,UNSPECIFIED CORROSION,0,0,$21993,3,1
03/20/09,HL,VENICE,LA,PLAQUEMINES,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$27800,6,6
02/11/09,HL,VERNON,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$720829,35,35
02/02/09,HL,GLADEWATER,TX,GREGG,CORROSION,UNSPECIFIED CORROSION,0,0,$6645,1,1
01/29/09,HL,GLADEWATER,TX,GREGG,CORROSION,EXTERNAL,0,0,$22433,10,5
09/23/08,HL,GLADEWATER,TX,GREGG,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$3969,75,2
08/23/08,HL,LAKE ARTHUR,LA,CAMERON,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$42500,200,150
06/06/07,HL,OVERTON,TX,SMITH,CORROSION,UNSPECIFIED CORROSION,0,0,$26286,1,0
12/12/06,HL,GLADEWATER,TX,GREGG,CORROSION,EXTERNAL,0,0,$333194,300,220
06/13/06,HL,VENICE,LA,PLAQUEMINES,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$27400,20,20
