date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
01/05/15,HL,HELENA,AL,SHELBY,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$72500,9,9
12/11/14,HL,BELTON,SC,ANDERSON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$0,0,0
12/08/14,HL,BELTON,SC,ANDERSON,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$2498500,8800,5022
08/21/14,HL,PELHAM,AL,SHELBY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$2864000,919,581
05/12/14,HL,ANDERSON,SC,ANDERSON,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$1170300,608,445
03/25/14,HL,COLLINS,MS,COVINGTON,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$18140,17,0
03/21/14,HL,VILLA RICA,GA,CARROLL,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$216948,41,25
03/18/14,HL,OXFORD,AL,CALHOUN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$6528,0,0
01/10/14,HL,BATON ROUGE,LA,EAST BATON ROUGE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$300,0,0
01/31/13,HL,NEWINGTON,VA,FAIRFAX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$20100,0,0
01/02/13,HL,BREMEN,GA,HARALSON,CORROSION,EXTERNAL,0,0,$9800,5,0
12/31/12,HL,BATON ROUGE,LA,EAST BATON ROUGE PARISH,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$11090,8,0
12/27/12,HL,MIDLOTHIAN,VA,CHESTERFIELD,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$40250,1,0
