date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
12/18/13,GT,MEEKER,CO,RIO BLANCO,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$21565,$21165
04/17/13,GT,,CO,MOFFAT,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$21487,$21087
01/14/13,GT,MYTON,UT,DUCHESNE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$177330,$175730
12/04/11,GT,NEAR EVANSTON WY,WY,UINTA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$142240,$6240
11/27/11,GT,NEAR LYMAN,WY,UINTA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$20300,$19500
11/18/11,GT,NEAR GREEN RIVER,WY,SWEETWATER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$25300,$25000
11/13/11,GT,INDIANOLA,UT,UTAH,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$10000,$9700
09/28/11,GT,INDIANOLA,UT,UTAH,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$8900,$8600
07/21/11,GT,ROCK SPRINGS,WY,SWEETWATER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$91450,$91350
05/11/11,GT,VERNAL,UT,UINTAH,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$68600,$68100
04/08/07,GT,PRICE,UT,CARBON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$120000,$120000
