date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/23/15,HL,ROCKLIN,CA,PLACER,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$5578,0,0
02/23/15,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$178131,0,0
01/12/15,HL,RICHMOND,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$550497,58,0
12/09/14,HL,CONCORD,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$150501,0,0
10/06/14,HL,BRISBANE,CA,SAN MATEO,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$16169,0,0
09/14/14,HL,CONCORD,CA,CONTRA COSTA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$80967,12,0
06/21/14,HL,CONCORD,CA,CONTRA COSTA,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$34453,7,0
08/08/13,HL,CONCORD,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$427913,1,0
01/08/13,HL,WEST SACRAMENTO,CA,YOLO,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$2429,0,0
10/16/12,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$16012,6,0
08/23/11,HL,BRENTWOOD,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$410000,38,14
08/10/11,HL,COLFAX,CA,PLACER,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$2046,0,0
04/25/11,HL,LIVE OAK,CA,SUTTER,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$27301,8,0
11/04/10,HL,POMONA,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$64964,2,0
07/19/10,HL,ROCKLIN,CA,PLACER,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$49500,0,0
03/16/10,HL,SACRAMENTO,CA,SACRAMENTO,CORROSION,INTERNAL,0,0,$480000,48,42
05/18/09,HL,BLOOMINGTON,CA,SAN BERNARDINO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$72147,11,1
05/01/09,HL,PHOENIX,AZ,MARICOPA,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$33684,17,0
09/18/08,HL,DEMING,NM,LUNA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$2431,0,0
06/04/08,HL,INDIO,CA,RIVERSIDE,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$222245,751,652
05/23/08,HL,RICHMOND,CA,CONTRA COSTA,CORROSION,EXTERNAL,0,0,$114815,4,3
03/29/08,HL,PHOENIX,AZ,MARICOPA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5212,1,0
02/15/08,HL,PHOENIX,AZ,MARICOPA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$7172,2,0
