date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
06/07/15,HL,Not Within a Municipality,LA,ST. MARY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$5000,0,0
05/25/15,HL,TRACY,CA,SAN JOAQUIN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$1005340,7,6
05/06/15,HL,PORT ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$3250,0,0
04/08/15,HL,HOUMA,LA,TERREBONNE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$5000,0,0
02/04/15,HL,PASADENA,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$256700,15,0
11/13/14,HL,BAKERSFIELD,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$20000,2,0
07/23/14,HL,OFFSHORE,OCS,,CORROSION,EXTERNAL,0,0,$25149,1,1
06/08/14,HL,BAKERSFIELD,CA,KERN,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0,0,$4000,0,0
05/31/14,HL,NORCO,LA,ST. CHARLES,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$1000,0,0
05/28/14,HL,ST. JAMES,LA,ST. JAMES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$5000,2,0
04/22/14,HL,PORT ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$20000,3,0
03/06/14,HL,PORT NECHES,TX,JEFFERSON,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$2770000,364,0
03/02/14,HL,CARNERAS,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$117000,238,0
02/10/14,HL,CHANNELVIEW,TX,HARRIS,CORROSION,INTERNAL,0,0,$661000,20,0
01/07/14,HL,BATON ROUGE,LA,EAST BATON ROUGE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$5500,5,0
01/02/14,HL,CARNERAS,CA,KERN,CORROSION,EXTERNAL,0,0,$223357,440,0
10/23/13,HL,PT. ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$2525,0,0
