date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
11/19/14,GT,BAKERSFIELD,CA,KERN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$242897,$148076
10/15/14,GT,PALMDALE,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$51369,$166
07/18/14,GT,BRAWLEY,CA,IMPERIAL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$425447,$153112
05/10/13,GT,TEMPLETON,CA,SAN LUIS OBISPO,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$319000,$68000
01/06/13,GT,PLAYA DEL REY,CA,LOS ANGELES,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$959750,$9250
07/10/11,GT,CAMARILLO,CA,VENTURA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$221500,$20500
08/07/10,GT,LOST HILLS,CA,KERN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$445000,$285000
08/03/09,GT,WESTMINSTER,CA,ORANGE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$63000,$2000
01/14/09,GT,BAKERSFIELD,CA,KERN,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$50000,$5000
02/05/07,GT,VENTURA,CA,VENTURA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$75000,$13000
01/20/07,GT,BRAWLEY,CA,IMPERIAL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$175000,$150000
12/11/06,GT,LOS ANGELES,CA,LOS ANGELES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$200000,$110000
05/04/06,GT,CALIPATRIA,CA,IMPERIAL,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$320000,$20000
02/04/06,GT,NORTHRIDGE,CA,LOS ANGELES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$55000,$0
