date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
06/09/15,GT,Not Within a Municipality,LA,MOOREHOUSE PARISH,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$73395,$2995
05/15/15,GT,Not Within a Municipality,KY,POWELL COUNTY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$23400,$23000
03/02/15,GT,Not Within a Municipality,MS,MARSHALL,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$281890,$40130
02/10/15,GT,HOPKINTON,MA,MIDDLESEX,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$55150,$51820
07/28/14,GT,MIDDLETON,TN,HARDEMAN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$64167,$63767
01/24/14,GT,VICTORIA,TX,VICTORIA,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$132634,$47824
01/23/14,GT,COUDERSPORT,PA,POTTER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$33828,$33480
11/27/13,GT,LA FAYETTE,NY,ONONDAGA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$88817,$88817
09/21/13,GT,KINDER,LA,JEFF DAVIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$52500,$52000
09/09/13,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$545255,$45255
08/22/13,GG,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$462654,$7844
08/16/13,GT,OFFSHORE,OCS,,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$369952,$22952
08/16/13,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$437590,$7590
06/27/13,GT,CENTERVILLE,TN,HICKMAN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$96650,$96500
06/12/13,GT,ISOLA,MS,HUMPHREYS,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$32334,$30534
05/17/13,GT,NATCHITOCHES,LA,NATCHITOCHES,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$14700,$14400
05/16/13,GT,OFFSHORE,LA,Placquemines,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$283170,$6670
03/15/13,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$449520,$23361
01/15/13,GT,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$1425037,$355015
01/02/13,GT,BAY SAINT LOUIS,MS,HANCOCK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$88000,$88000
07/20/12,GT,KINDER,LA,JEFFERSON DAVIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$46700,$28700
07/15/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$119297,$3297
06/21/12,GT,WAYNESVILLE,TN,WAYNE,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$195978,$20978
03/23/12,GT,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$1175611,$10786
02/08/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$298330,$35226
02/01/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$287262,$29364
02/01/12,GT,CARLISLE,NY,SCHOHARIE,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,0,0,$104300,$1300
12/22/11,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$374110,$51744
11/21/11,GT,BATESVILLE,MS,PANOLA,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$734698,$273698
11/16/11,GT,NEAR GLOUSTER,OH,MORGAN (HOMER TOWNSHIP),NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$1883770,$255170
09/21/11,GT,WINCHESTER,KY,CLARK,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$198100,$195500
09/19/11,GT,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$125521,$21
08/22/11,GT,OFFSHORE,LA,Terrebonne,CORROSION,INTERNAL,0,0,$1127519,$18016
08/04/11,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$273055,$3780
07/08/11,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$791242,$114178
06/26/11,GT,OFFSHORE,OCS,,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$643000,$389000
06/14/11,GT,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$320584,$10584
06/07/11,GT,OFFSHORE,OCS,,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$753958,$488958
04/20/11,GT,OFFSHORE,LA,LaFourche,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$517464,$14464
03/31/11,GT,GREENUP,KY,GREENUP,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$195330,$24800
03/14/11,GT,PACHUTA,MS,JASPER,CORROSION,INTERNAL,0,0,$367000,$175000
03/01/11,GT,CUMBERLAND,OH,GUERNSEY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$389949,$172324
03/01/11,GT,OFFSHORE,OCS,,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$129007,$7
02/10/11,GT,HANOVERTON,OH,COLUMBIANA,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$2881072,$331072
01/28/11,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$832332,$134832
01/25/11,GT,CHAUVIN,LA,TERREBONNE,CORROSION,INTERNAL,0,0,$1194741,$77808
01/04/11,GT,CHAUVIN,LA,TERREBONNE,CORROSION,INTERNAL,0,0,$762868,$3868
12/08/10,GT,EAST BERNARD,TX,WHARTON,CORROSION,INTERNAL,0,0,$715000,$600000
11/30/10,GT,NATCHITOCHES,LA,NATCHITOCHES,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$116000,$54000
11/23/10,GT,OFFSHORE,LA,Lafourche,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$600513,$65000
09/01/10,GT,OFFSHORE,LA,Plaquemines,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$505500,$5500
08/17/10,GT,OFFSHORE,OCS,,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,0,0,$268341,$6280
07/26/10,GT,OFFSHORE,LA,Terraborne Parish,CORROSION,INTERNAL,0,0,$807156,$113156
05/29/10,GT,OFFSHORE,LA,Lafourche,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$2054195,$3592
03/08/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$294760,$23760
03/06/10,GT,OFFSHORE,OCS,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$443606,$64338
10/16/09,GT,GOLDEN MEADOW,LA,LAFOURCHE,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$881000,$31000
04/23/09,GT,GREENSBURG,KY,GREEN,ALL OTHER CAUSES,UNKNOWN,0,0,$115360,$25360
04/08/09,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$450000,$50000
03/23/09,GT,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$3000000,$0
02/02/09,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$1731541,$338000
01/18/09,GT,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$1500000,$15000
10/28/08,GT,COBLESKILL,NY,SCHOHARIE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$51002,$24752
10/20/08,GT,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$70000,$10000
10/15/08,GT,OFFSHORE,N/A,,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$8050000,$50000
10/03/08,GT,CAMERON,N/A,CAMERON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$425000,$25000
09/23/08,GT,GRAND ISLE,LA,JEFFERSON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$3750000,$250000
09/18/08,GT,GRAND ISLE,N/A,JEFFERSON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$10250000,$250000
09/18/08,GT,GRAND ISLE,N/A,JEFFERSON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$150000,$25000
09/17/08,GT,GRAND ISLE,N/A,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$7700000,$2200000
09/16/08,GT,GRAND ISLE,N/A,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$6886709,$2000000
09/15/08,GT,GRAND CHENIER,LA,CAMERON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$96000,$95000
09/04/08,GT,GRAND ISLE,LA,JEFFERSON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$7160000,$2160000
01/26/08,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$482700,$85700
01/23/08,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$1186000,$630914
01/10/08,GT,OFFSHORE,N/A,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$447349,$11718
10/25/07,GT,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$140000,$30000
10/14/07,GT,OFFSHORE,N/A,,ALL OTHER CAUSES,UNKNOWN,0,0,$472000,$135000
09/10/07,GT,VENICE,LA,PLAQUEMINES,ALL OTHER CAUSES,UNKNOWN,0,0,$121200,$1200
08/06/07,GT,WOODVILLE,TX,TYLER,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$300000,$299500
08/05/07,GT,GOLDEN MEADOW,N/A,LAFOURCHE,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$120000,$1000
07/03/07,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$208000,$19100
06/28/07,GT,PORT SULPHUR,LA,PLAQUEMINES,CORROSION,EXTERNAL,0,0,$250653,$180653
06/15/07,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$278000,$126000
04/12/07,GT,OFFSHORE,N/A,,ALL OTHER CAUSES,UNKNOWN,0,0,$435000,$50000
03/10/07,GT,OFFSHORE,N/A,,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$150000,$0
02/17/07,GT,CYPRESS,TX,HARRIS,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,0,1,$1079486,$733486
12/29/06,GT,EMPIRE,LA,LAFOURCHE,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$350000,$25000
09/16/06,GT,OFFSHORE,N/A,,CORROSION,INTERNAL,0,0,$225000,$25000
08/07/06,GT,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$469100,$50000
07/22/06,GT,,KY,CLARK,CORROSION,EXTERNAL,0,0,$887566,$275000
07/05/06,GT,OFFSHORE,N/A,,ALL OTHER CAUSES,UNKNOWN,0,0,$120000,$20000
06/03/06,GT,,PA,CRAWFORD,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,1,$55000,$43800
05/19/06,GT,EAST MILLFIELD,OH,ATHENS,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$200000,$20000
05/02/06,GT,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$210000,$10000
04/12/06,GT,OFFSHORE,N/A,,ALL OTHER CAUSES,UNKNOWN,0,0,$250000,$50000
03/29/06,GT,GREENVILLE,MS,WASHINGTON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$400000,$400000
