date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
05/31/15,GT,NORTH LITTLE ROCK,AR,PULASKI,ALL OTHER CAUSES,UNKNOWN,0,0,$1032250,$22250
11/17/14,GT,OFFSHORE,OCS,,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$2093296,$93296
09/22/14,GT,WESTPORT,IN,DECATUR,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$22700,$21700
05/16/14,GT,CARMICHAEL,PA,GREENE,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0,0,$324003,$137566
06/04/13,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$522432,$22432
03/27/13,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$552580,$52580
11/03/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$647212,$47212
10/24/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$269974,$29974
09/06/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$673200,$73200
09/01/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$444913,$19005
08/13/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$642498,$42498
04/19/12,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$339188,$39188
04/13/12,GT,MARIETTA,PA,YORK,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,0,1,$251170,$1170
05/04/11,GT,HALLETTSVILLE (15 MILES SOUTHE,TX,LAVACA,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$219929,$43490
12/19/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$661268,$161268
10/12/10,GT,TOMPKINSVILLE,KY,MONROE,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$131004,$127504
09/29/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$649580,$49580
09/16/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$302400,$52400
09/02/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$432820,$32820
06/20/10,GT,OFFSHORE,OCS,,CORROSION,INTERNAL,0,0,$861268,$161268
06/08/09,GT,OFFSHORE,LA,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$130000,$1000
10/01/08,GT,CLINTON,MS,HINDS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$120010,$120000
07/12/08,GT,RED LION,OH,WARREN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$55100,$5050
09/30/06,GT,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$255000,$5000
04/09/06,GT,DELMONT,PA,WESTMORELAND,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$402700,$2700
