date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
05/27/15,GT,EUNICE,LA,ACADIA,CORROSION,INTERNAL,0,0,$74138,$138
05/04/15,GT,GLASGOW,KY,BARREN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$143004,$4904
02/16/15,GT,GREENVILLE,MS,WASHINGTON,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$20696,$20696
02/16/15,GT,GREENVILLE,MS,WASHINGTON,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$25187,$25187
01/07/15,GT,BREMEN,KY,MUHLENBERG,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$31988,$31488
03/02/14,GT,LAKE CORMORANT,MS,DESOTO,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$237979,$237479
02/13/14,GT,GREENVILLE,MS,WASHINGTON,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$121409,$74409
02/12/14,GT,PINEVILLE,LA,RAPIDES,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$254536,$253536
03/17/13,GT,HAUGHTON,LA,BOSSIER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$25600,$25000
06/07/12,GT,,LA,CAMERON PARISH,OTHER OUTSIDE FORCE DAMAGE,FISHING OR MARITIME ACTIVITY,0,0,$28475,$2475
04/09/12,GT,N/A,LA,TERREBONNE,CORROSION,INTERNAL,0,0,$1118000,$43000
04/24/11,GT,GLENVILLE,KY,MCLEAN,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0,0,$95000,$95000
02/04/11,GT,COLUMBIA,LA,CALDWELL PARISH,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$30149,$29414
01/09/11,GT,STERLINGTON,LA,OUCHITA,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$30071,$29529
12/24/10,GT,YOUNGSVILLE,LA,LAFAYETTE,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,0,0,$306100,$2600
11/04/09,GT,GRAND CHENIER,LA,CAMERON,CORROSION,INTERNAL,0,0,$50000,$0
10/23/09,GT,GLENVILLE,KY,MCLEAN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$50000,$50000
09/14/09,GT,STERLINGTON,LA,OUACHITA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$11130,$11130
08/04/09,GT,GRAND CHENIER,LA,CAMERON,CORROSION,INTERNAL,0,0,$199250,$38250
03/08/08,GT,STERLINGTON,LA,OUACHITA,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$297500,$297000
02/06/08,GT,,TN,SHELBY,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$102500,$102000
10/29/07,GT,SLAUGHTERS,KY,WEBSTER,ALL OTHER CAUSES,MISCELLANEOUS,0,1,$288000,$0
10/17/07,GT,BASTROP,LA,MOREHOUSE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$155650,$155650
06/13/06,GT,N/A,LA,TERREBONNE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$0,$0
