date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
12/30/14,GT,Not Within a Municipality,ND,GOLDEN VALLEY,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$185700,$475
11/03/14,GT,WILLISTON,ND,WILLIAMS COUNTY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$40427,$25771
02/28/14,GT,POWELL,WY,PARK,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$523374,$1231
12/23/13,GT,GLEN ULLIN,ND,MORTON COUNTY,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$18560,$16970
01/28/13,GT,TAYLOR,ND,STARK,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$49621,$15371
01/26/13,GT,ALEXANDER,ND,MCKENZIE COUNTY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$194993,$3393
12/25/12,GT,GILLETTE,WY,CAMPBELL,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$15297,$12888
10/06/11,GT,POWELL,WY,PARK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$13531,$13448
03/16/11,GT,BAKER,MT,FALLON,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$17572,$14292
12/10/10,GT,BELFIELD,ND,BILLINGS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$474239,$18819
11/08/10,GT,TIOGA,ND,MOUNTRAIL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,1,0,$42596,$19497
11/10/08,GT,SAVAGE,MT,RICHLAND,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,1,$41100,$17000
