date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/18/15,HL,MILWAUKEE,WI,MILWAUKEE,ALL OTHER CAUSES,UNKNOWN,0,0,$358600,2,1
03/29/14,HL,ARLINGTON HEIGHTS,IL,COOK,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$14787,1,0
01/28/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$19026,1,0
08/27/12,HL,PALOS PARK,IL,COOK,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0,0,$6023171,704,19
07/17/12,HL,JACKSON,WI,WASHINGTON,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$23223508,1302,820
04/04/12,HL,LOCKPORT,IL,WILL,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$35000,0,0
11/17/11,HL,CHICAGO,IL,COOK,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$460544,16,0
05/17/11,HL,ROCKFORD,IL,WINNEBAGO,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$30000,2,0
04/12/11,HL,GREEN BAY,WI,BROWN,CORROSION,EXTERNAL,0,0,$594361,10,7
12/14/10,HL,LOCKPORT,IL,WILL,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,$15886310,1760,0
02/04/10,HL,MILWAUKEE,WI,MILWAUKEE,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$4521,0,0
02/14/09,HL,GREEN BAY,WI,BROWN,CORROSION,EXTERNAL,0,0,$254000,21,0
03/14/08,HL,LEMONT,IL,COOK,CORROSION,EXTERNAL,0,0,$572000,0,0
10/03/06,HL,MILWAUKEE,WI,MILWAUKEE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$10150,2,0
