date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
02/25/15,HL,DAWSON,TX,NAVARRO,CORROSION,EXTERNAL,0,0,$177250,30,15
01/30/15,HL,COLORADO CITY,TX,SCURRY,CORROSION,INTERNAL,0,0,$1000,1,0
04/25/14,HL,ZEPHYR,TX,BROWN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$15719,0,0
04/24/14,HL,ONALASKA,TX,POLK,CORROSION,INTERNAL,0,0,$34140,12,3
06/17/13,HL,ABILENE,TX,TAYLOR,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$40516,0,0
06/07/13,HL,RANGER,TX,EASTLAND,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1600,1,0
06/07/13,HL,ONALASKA,TX,POLK,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$4248,7,0
05/08/13,HL,WORTHAM,TX,FREESTONE,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$3437,1,1
02/19/13,HL,Not Within a Municipality,TX,FREESTONE,ALL OTHER CAUSES,MISCELLANEOUS,0,1,$0,0,0
01/21/13,HL,LONGVIEW,TX,GREGG,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$2708,2,2
09/21/12,HL,HERMLEIGH,TX,SCURRY,CORROSION,EXTERNAL,0,0,$26543,0,0
03/23/12,HL,WORTHAM,TX,FREESTONE,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,$49,0,0
02/29/12,HL,HERMLIEGH,TX,SCURRY,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$1207,2,2
02/18/12,HL,BLUM,TX,HILL,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$22507,2,0
01/30/12,HL,BLIM,TX,HILL,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$181,70,0
10/12/11,HL,LONGVIEW,TX,GREGG,CORROSION,INTERNAL,0,0,$4520,1,1
07/13/11,HL,WORTHAM,TX,FREESTONE,CORROSION,INTERNAL,0,0,$27540,70,10
06/18/11,HL,HERMLIEGH,TX,SCURRY,CORROSION,INTERNAL,0,0,$1590,1,1
04/11/11,HL,WORTHAM,TX,FREESTONE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1825,0,0
09/22/10,HL,SOUR LAKE,TX,HARDIN,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$21084,2,2
08/03/10,HL,RANGER,TX,EASTLAND,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$1209,0,0
06/25/10,HL,HERMLEIGH,TX,SCURRY,CORROSION,INTERNAL,0,0,$22412,2,2
08/11/09,HL,GLEN ROSE,TX,SOMERVELL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$63204,4,3
06/17/09,HL,HERMLEIGH,TX,SCURRY,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$764676,3416,1835
06/17/09,HL,HERMLEIGH,TX,SCURRY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$0,0,0
04/20/09,HL,BLUM,TX,HILL,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$46722,48,43
06/07/08,HL,CHINA GROVE,TX,SCURRY,CORROSION,INTERNAL,0,0,$21100,40,20
05/14/08,HL,LONGVIEW,TX,GREGG,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$10495,1,0
08/23/07,HL,ABILENE,TX,TAYLOR,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$15300,5,5
06/07/07,HL,ABILENE,TX,TAYLOR,CORROSION,UNSPECIFIED CORROSION,0,0,$13750,4,4
04/09/07,HL,BLUM,TX,HILL,CORROSION,INTERNAL,0,0,$65120,20,2
01/16/07,HL,WORTHAM,TX,FREESTONE,CORROSION,INTERNAL,0,0,$11549,10,0
10/16/06,HL,ABILENE,TX,TAYLOR,CORROSION,INTERNAL,0,0,$491930,1205,79
08/28/06,HL,RANGER,TX,EASTLAND,CORROSION,INTERNAL,0,0,$40300,35,5
03/28/06,HL,WORTHAM,TX,FREESTONE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$3030,0,0
03/14/06,HL,ONALASKA,TX,POLK,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$6550,4,4
